飞机地址码,数据来源,航班号,飞机注册号,航向,经度,维度,垂直加速度,地速,高度,接收机位置,未知 
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,288.012115,106.806061,29.984856,-195,317,1859,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.343292,105.555565,28.037716,0,731,9784,CKGCH1,CKGCH1
78044B,SZAir,ZH9967,B-5365,169.658356,113.509247,22.733368,-429,515,3032,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,180.709503,109.293777,17.767776,721,598,5570,SYXJD1,SYXJD1
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,288.225067,106.806061,29.984856,-156,319,1844,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.343292,105.552467,28.043472,0,731,9776,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.922958,123.483582,41.640072,0,704,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.709503,109.294540,17.817869,643,598,5593,HAKHU1,HAKHU1
780319,CapitalAir,ZH9749,B-6313,180.709503,109.293655,17.761681,624,598,5608,SYXJD1,SYXJD1
78044B,SZAir,ZH9967,B-5365,169.658356,113.510284,22.728107,-468,515,3009,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.922958,123.483582,41.640072,0,704,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,169.658356,113.510788,22.725403,-468,515,2994,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,180.709503,109.293655,17.760239,565,598,5623,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,208.922958,123.483582,41.640072,0,704,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.709503,109.294540,17.817869,526,598,5646,HAKHU1,HAKHU1
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,288.331329,106.795235,29.987974,-136,323,1836,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.343292,105.547920,28.051867,0,731,9776,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.922958,123.483582,41.640072,0,704,7193,ZYTX,ZYTX
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,288.331329,106.795235,29.987974,-136,323,1836,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.547920,28.051867,0,729,9776,CKGCH1,CKGCH1
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,286.574005,106.786339,29.990442,-136,324,1813,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.542152,28.062435,0,729,9776,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.705139,109.294540,17.817869,351,601,5669,HAKHU1,HAKHU1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,266.613647,106.777420,29.990936,-351,313,1790,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.533592,28.078217,0,729,9776,CKGCH1,CKGCH1
78044B,SZAir,ZH9967,B-5365,169.264648,113.516281,22.697662,-136,507,2849,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.702988,109.294540,17.817869,292,603,5669,HAKHU1,HAKHU1
780319,CapitalAir,ZH9749,B-6313,180.700836,109.293396,17.740311,253,605,5699,SYXJD1,SYXJD1
780319,HNAir,ZH9749,B-6313,180.698700,109.294540,17.817869,234,607,5699,HAKHU1,HAKHU1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,245.865143,106.772057,29.989279,-331,312,1783,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.528488,28.087601,0,729,9784,CKGCH1,CKGCH1
78044B,SZAir,ZH9967,B-5365,169.393295,113.517487,22.691391,-97,503,2842,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
7802CF,CHAir,ZH9825,B-5187,281.070190,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,240.255112,106.770462,29.988440,-331,313,1775,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.528488,28.087601,0,729,9784,CKGCH1,CKGCH1
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,237.528809,106.769066,29.987640,-312,313,1767,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.523033,28.097675,0,729,9784,CKGCH1,CKGCH1
780319,HNAir,ZH9749,B-6313,180.688202,109.294540,17.817869,58,616,5715,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.684097,109.294540,17.817869,19,620,5715,HAKHU1,HAKHU1
78044B,SZAir,ZH9967,B-5365,169.246323,113.519028,22.683743,-156,486,2811,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.684097,109.294540,17.817869,19,620,5715,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.676025,109.294540,17.817869,-19,627,5715,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.670090,109.294540,17.817869,-39,633,5707,HAKHU1,HAKHU1
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,226.623337,106.762711,29.982697,-156,323,1744,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.515930,28.110849,0,729,9784,CKGCH1,CKGCH1
780319,HNAir,ZH9749,B-6313,180.670090,109.294540,17.817869,-39,633,5707,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.662354,109.294540,17.817869,-58,640,5707,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.662354,109.294540,17.817869,-58,640,5707,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.662354,109.294540,17.817869,-58,640,5707,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.649216,109.294540,17.817869,-39,653,5707,HAKHU1,HAKHU1
78044B,SZAir,ZH9967,B-5365,169.420731,113.519028,22.683743,-136,484,2811,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,209.069305,123.483582,41.640072,0,701,7193,ZYTX,ZYTX
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,226.623337,106.762711,29.982697,-156,323,1744,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.515930,28.110849,0,729,9784,CKGCH1,CKGCH1
780319,HNAir,ZH9749,B-6313,180.647385,109.294540,17.817869,-39,655,5699,HAKHU1,HAKHU1
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,226.385925,106.762711,29.982697,-156,324,1744,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.515930,28.110849,0,729,9784,CKGCH1,CKGCH1
78044B,SZAir,ZH9967,B-5365,169.516602,113.521927,22.669916,-78,478,2804,SZXZH1,SZXZH1
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,226.623337,106.756897,29.977919,-156,323,1722,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.515930,28.110849,0,729,9784,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,209.069305,123.483582,41.640072,19,701,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.690063,113.522133,22.668798,-136,472,2796,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,209.069305,123.483582,41.640072,0,701,7193,ZYTX,ZYTX
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,226.623337,106.753777,29.975327,-156,323,1706,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.504295,28.132215,0,729,9776,CKGCH1,CKGCH1
780319,HNAir,ZH9749,B-6313,180.784821,109.294540,17.817869,0,676,5699,HAKHU1,HAKHU1
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,227.086777,106.752831,29.974567,-156,323,1706,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.280334,105.504295,28.132215,-136,729,9776,CKGCH1,CKGCH1
780319,HNAir,ZH9749,B-6313,180.782684,109.294540,17.817869,-19,677,5699,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.782684,109.294540,17.817869,-19,677,5699,HAKHU1,HAKHU1
780bef,SYAirport,ZH9601,,209.069305,123.483582,41.640072,19,701,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.870804,113.525223,22.654633,-78,460,2773,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,209.069305,123.483582,41.640072,0,701,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.772141,109.294540,17.817869,-19,687,5692,HAKHU1,HAKHU1
7802CF,CHAir,ZH9825,B-5187,280.920166,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,227.529495,106.751732,29.973682,-136,326,1699,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.343292,105.496536,28.146515,-292,731,9753,CKGCH1,CKGCH1
78044B,SZAir,ZH9967,B-5365,168.279190,113.525223,22.654633,-78,455,2766,SZXZH1,SZXZH1
780319,HNAir,ZH9749,B-6313,180.767990,109.294540,17.817869,0,690,5692,HAKHU1,HAKHU1
7802CF,CHAir,ZH9825,B-5187,281.220093,107.402977,28.194763,0,694,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,227.770218,106.751732,29.973682,-136,325,1699,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,334.149475,105.492661,28.153631,-312,730,9723,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,167.624863,113.526924,22.646988,-136,449,2758,SZXZH1,SZXZH1
780319,HNAir,ZH9749,B-6313,180.763901,109.294540,17.817869,0,694,5692,HAKHU1,HAKHU1
7802CF,CHAir,ZH9825,B-5187,281.099609,107.402977,28.194763,0,692,7802,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,227.086777,106.743324,29.966995,-136,323,1676,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,333.107544,105.489540,28.159124,-312,724,9715,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,167.574051,113.527626,22.643568,-156,447,2750,SZXZH1,SZXZH1
780319,HNAir,ZH9749,B-6313,180.761871,109.294540,17.817869,19,696,5692,HAKHU1,HAKHU1
78044B,SZAir,ZH9967,B-5365,168.074005,113.529465,22.635818,-117,439,2735,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.761871,109.294540,17.817869,19,696,5692,HAKHU1,HAKHU1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.757843,109.294540,17.817869,19,700,5699,HAKHU1,HAKHU1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.150024,113.532051,22.624481,-136,423,2712,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.757843,109.294540,17.817869,0,700,5699,HAKHU1,HAKHU1
780319,HNAir,ZH9749,B-6313,180.757843,109.294540,17.817869,0,700,5699,HAKHU1,HAKHU1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780319,HNAir,ZH9749,B-6313,180.757843,109.294540,17.817869,0,700,5699,HAKHU1,HAKHU1
78044B,SZAir,ZH9967,B-5365,168.537827,113.535164,22.610229,-253,410,2674,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.791656,113.536377,22.605022,-175,409,2659,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.690063,113.537209,22.601257,-97,406,2651,SZXZH1,SZXZH1
7802CF,CHAir,ZH9825,B-5187,281.279419,107.172478,28.234726,-331,681,7764,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.690063,113.537758,22.598648,-97,406,2651,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.381470,113.538055,22.597183,-97,404,2644,SZXZH1,SZXZH1
78044B,SZAir,ZH9967,B-5365,168.070679,113.538765,22.594269,-117,403,2644,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.427963,113.541512,22.582212,19,396,2628,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.690063,113.542175,22.578953,-19,396,2628,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,-19,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.952652,113.543053,22.574890,-214,396,2621,SZXZH1,SZXZH1
78044B,SZAir,ZH9967,B-5365,169.527969,113.543396,22.573414,-429,397,2613,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,169.718613,113.545799,22.561295,-468,404,2514,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,169.718613,113.546143,22.560146,-429,404,2499,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,169.252274,113.548744,22.547150,-351,407,2423,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,119.856606,109.339172,17.495087,0,706,5699,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,115.025932,109.344276,17.492752,0,709,5699,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.690063,113.551292,22.534744,-253,406,2362,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,19,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,168.381470,113.551636,22.533657,-175,404,2354,SZXZH1,SZXZH1
78044B,SZAir,ZH9967,B-5365,161.140640,113.552704,22.528444,-195,395,2324,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,95.475357,109.371300,17.486092,19,718,5699,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,208.863770,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,159.443954,113.554787,22.522659,-136,395,2324,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.995956,123.483582,41.640072,0,702,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.922958,123.483582,41.640072,0,704,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.922958,123.483582,41.640072,0,704,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.922958,123.483582,41.640072,0,704,7193,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,94.001221,109.390182,17.484648,0,716,5699,SYXJD1,SYXJD1
780319,CapitalAir,ZH9749,B-6313,94.001221,109.390182,17.484648,0,716,5699,SYXJD1,SYXJD1
78044B,SZAir,ZH9967,B-5365,123.769646,113.566383,22.509451,-331,369,2301,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.850281,123.483582,41.640072,0,706,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.850281,123.483582,41.640072,0,706,7193,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,94.148903,109.411758,17.483158,0,716,5699,SYXJD1,SYXJD1
78044B,SZAir,ZH9967,B-5365,112.488503,113.574364,22.505264,-331,372,2255,SZXZH1,SZXZH1
7802CF,CHAir,ZH9825,B-5187,280.717834,106.976944,28.268234,-312,597,7155,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,196.955307,106.697212,29.868256,-292,317,1150,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,307.089783,105.331161,28.283203,-97,675,8938,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.850281,123.483582,41.640072,0,706,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,111.854218,113.575638,22.504749,-312,373,2247,SZXZH1,SZXZH1
7802CF,CHAir,ZH9825,B-5187,280.892212,106.970345,28.269379,-312,597,7139,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,196.955307,106.697212,29.868256,-292,317,1150,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,307.089783,105.331161,28.283203,-97,675,8938,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.850281,123.483582,41.640072,0,706,7193,ZYTX,ZYTX
7802CF,CHAir,ZH9825,B-5187,280.892212,106.970345,28.269379,-312,597,7132,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,196.955307,106.697212,29.868256,-292,317,1066,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,307.089783,105.331161,28.283203,-97,675,8862,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.850281,123.483582,41.640072,19,706,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,111.428673,113.579758,22.503204,-253,370,2225,SZXZH1,SZXZH1
7802CF,CHAir,ZH9825,B-5187,280.892212,106.961166,28.270943,-312,597,7109,CKGCH1,CKGCH1
780C6C,CHAir,ZH9793,,196.955307,106.697212,29.868256,-292,317,1066,CKGCH1,CKGCH1
7807AD,CHAir,ZH9823,B-5616,307.405365,105.267227,28.325966,0,673,8862,CKGCH1,CKGCH1
780bef,SYAirport,ZH9601,,208.850281,123.483582,41.640072,19,706,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.850281,123.483582,41.640072,0,706,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.777954,123.483582,41.640072,19,707,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.348106,113.595322,22.497395,-292,360,2148,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.777954,123.483582,41.640072,19,707,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.348106,113.597282,22.496658,-292,360,2141,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.777954,123.483582,41.640072,19,707,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.574135,113.598183,22.496292,-253,357,2133,SZXZH1,SZXZH1
78044B,SZAir,ZH9967,B-5365,112.804535,113.600258,22.495485,-273,353,2125,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.777954,123.483582,41.640072,0,707,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.909180,123.483582,41.640072,0,708,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.909180,123.483582,41.640072,0,708,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.909180,123.483582,41.640072,0,708,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.643105,113.621254,22.487228,-370,351,1988,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.363670,113.624367,22.486034,-351,350,1965,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.363670,113.630692,22.483658,-390,350,1927,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,123.771866,109.542221,17.453087,487,719,5974,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,124.098732,109.551834,17.446848,487,720,6019,SYXJD1,SYXJD1
78044B,SZAir,ZH9967,B-5365,112.363670,113.636436,22.481369,-390,350,1889,SZXZH1,SZXZH1
78044B,SZAir,ZH9967,B-5365,112.643105,113.638535,22.480545,-351,351,1866,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,124.220566,109.558319,17.442627,507,721,6050,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,113.039436,113.641914,22.479332,-351,350,1836,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.836975,123.483582,41.640072,0,710,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,113.039436,113.646820,22.477295,-331,350,1813,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.765091,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.765091,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,113.039436,113.647308,22.477144,-370,350,1798,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.765091,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
780bef,SYAirport,ZH9601,,208.765091,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,113.039436,113.655762,22.473862,-409,350,1752,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.765091,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.760010,113.655762,22.473862,-429,349,1744,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,208.765091,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,116.304031,109.584106,17.427389,370,727,6164,SYXJD1,SYXJD1
78044B,SZAir,ZH9967,B-5365,112.921417,113.662262,22.471277,-331,351,1706,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,108.389221,109.598579,17.421942,351,733,6210,SYXJD1,SYXJD1
780319,CapitalAir,ZH9749,B-6313,106.242874,109.600487,17.421431,351,734,6217,SYXJD1,SYXJD1
780319,CapitalAir,ZH9749,B-6313,103.966370,109.604805,17.420313,370,736,6233,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,208.967667,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,112.921417,113.665749,22.469879,-292,351,1684,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,101.563332,109.607712,17.419693,370,739,6240,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,209.170639,123.483582,41.640072,19,710,7193,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,96.009010,109.619560,17.418045,409,743,6278,SYXJD1,SYXJD1
78044B,SZAir,ZH9967,B-5365,112.479431,113.671043,22.467865,-331,348,1653,SZXZH1,SZXZH1
780bef,SYAirport,ZH9601,,209.300873,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,113.158607,113.676857,22.465599,-312,348,1615,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,94.846405,109.633446,17.416822,390,745,6316,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,209.300873,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
78044B,SZAir,ZH9967,B-5365,113.158607,113.678284,22.464935,-292,348,1607,SZXZH1,SZXZH1
780319,CapitalAir,ZH9749,B-6313,94.551262,109.638016,17.416443,390,746,6347,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,209.300873,123.483582,41.640072,0,711,7193,ZYTX,ZYTX
780319,CapitalAir,ZH9749,B-6313,94.409599,109.646545,17.415798,409,746,6370,SYXJD1,SYXJD1
780bef,SYAirport,ZH9601,,209.374039,123.483582,41.640072,0,709,7193,ZYTX,ZYTX
